Nombre,Colonia,Alcaldia,Latitud,Longitud,Puntos_de_acceso,Programa,Costo_punto,Retorno_inv
CIBERESCUELA CUAJIMALPA,CUAJIMALPA,Cuajimalpa de Morelos,19.3581345,-99.3012228,1,PILARES,3000,300
CIEN METROS,SANTIAGO ATEPETLAC 2532,Gustavo A. Madero,19.526566,-99.158889,2,PILARES,6000,600
CIGAMEC,SAN FELIPE DE JESUS,Gustavo A. Madero,19.500566,-99.074405,6,PILARES,18000,1800
COCODRILO,LOS OLIVOS 2309,Tláhuac,19.30193,-99.059548,6,PILARES,18000,1800
COLHUA (SANTA MARIA TOMATLAN),SANTA MARIA TOMATLAN 2518,Iztapalapa,19.32230163,-99.09996549,5,PILARES,15000,1500
COLOSIO (GIRASOL),LUIS DONALDO COLOSIO,Gustavo A. Madero,19.55980571,-99.147158,5,PILARES,15000,1500
COLOSIO (IXTLAHUACAN),IZTLAHUACAN,Iztapalapa,19.342305,-98.996397,5,PILARES,15000,1500
COLTONGO,COLTONGO,Azcapotzalco,19.481723,-99.153285,4,PILARES,12000,1200
COMPOSITORES MEXICANOS,COMPOSITORES MEXICANOS,Gustavo A. Madero,19.566884,-99.139296,5,PILARES,15000,1500
"CONASUPO 
(LOMAS DE PLATEROS)",LOMAS DE PLATEROS,Álvaro Obregón,19.3676318,-99.19995614,6,PILARES,18000,1800
CONSTITUCION DE 1917,LOS ANGELES,Iztapalapa,19.344302,-99.061208,1,PILARES,3000,300
CONTADERO,CONTADERO,Cuajimalpa de Morelos,19.34830062,-99.30271036,5,PILARES,15000,1500
COOPEREMOS PUEBLO,SANTA CRUZ MEYEHUALCO 2498,Iztapalapa,19.341289,-99.040762,2,PILARES,6000,600
CUAUHTENCO,SAN SALVADOR CUAUHTENCO,Milpa Alta,19.193876,-99.091524,2,PILARES,6000,600
CUCHILLA DE PADIERNA,LOMAS DEL PEDREGAL CUCHILLA DE PADIERNA,Tlalpan,19.276072,-99.216792,3,PILARES,9000,900
CUCHILLA DEL TESORO,CUCHILLA DEL TESORO 2154,Gustavo A. Madero,19.4485466,-99.0548749,5,PILARES,15000,1500
CUITLAHUAC,VICENTE GUERRERO,Iztapalapa,19.36436159,-99.04799873,3,PILARES,9000,900
DEPORTIVO ARNAIZ,SANTA MARIA NONOALCO,Benito Juárez,19.38358638,-99.18752026,6,PILARES,18000,1800
DEPORTIVO FUEGO NUEVO (PARQUE NACIONAL),PARQUE NACIONAL CERRO DE LA ESTRELLA,Iztapalapa,19.33022942,-99.09358499,5,PILARES,15000,1500
DEPORTIVO XOCHIMILCO (BARRIO SAN PEDRO),SAN LUCAS XOCHIMANZA 2447,Xochimilco,19.25529651,-99.10693819,5,PILARES,15000,1500
DEPÓSITO RTP,REYNOSA TAMAULIPAS,Azcapotzalco,19.497594,-99.187761,5,PILARES,15000,1500
DIAZ MIRON,SALVADOR DIAZ MIRON,Gustavo A. Madero,19.4881976,-99.09935331,4,PILARES,12000,1200
DIF ADOLFO LOPEZ MATEOS,ADOLFO LOPEZ MATEOS 2075,Venustiano Carranza,19.4211424,-99.0732566,2,PILARES,6000,600
DIF AJUSCO (SAN MIGUEL AJUSCO),SAN MIGUEL AJUSCO 2465,Tlalpan,19.229712,-99.195181,5,PILARES,15000,1500
DIF FAMILIA MAZA DE JUAREZ,TEZOZOMOC,Azcapotzalco,19.490415,-99.199114,4,PILARES,12000,1200
DIF FAMILIA MAZA DE JUAREZ,PEDREGAL DE SANTO DOMINGO 2375,Coyoacán,19.33221529,-99.1711357,4,PILARES,12000,1200
DIF MIGUEL HIDALGO,MIGUEL HIDALGO 2DA SECCION,Tlalpan,19.28476453,-99.19591073,6,PILARES,18000,1800
DIF QUETZALCOATL,QUETZALCOATL,Tláhuac,19.2952782,-99.0157199,4,PILARES,12000,1200
ECOGUARDAS,SIN NOMBRE 2613,Tlalpan,19.2710778,-99.2046278,1,PILARES,3000,300
"EDUCACION CIVICA 
(JAIME TORRES BODET)",JAIME TORRES BODET,Tláhuac,19.2304166,-99.0001437,3,PILARES,9000,900
EJE 5 SUR (CIRCUNVALACION),SANTA MARIA AZTAHUACAN 2506,Iztapalapa,19.366459,-99.03991866,4,PILARES,12000,1200
EJERCITO CONSTITUCIONALISTA,UNIDAD EJERCITO CONSTITUCIONALISTA,Iztapalapa,19.38664796,-99.0573156,1,PILARES,3000,300
EJÉRCITO DE ORIENTE,EJÉRCITO DE ORIENTE,Iztapalapa,19.3825923,-99.0325554,2,PILARES,6000,600
EJIDOS DE SAN JUAN DE ARAGÓN,EX EJIDO SAN JUAN DE ARAGON SECTOR 33,Gustavo A. Madero,19.469485,-99.091333,2,PILARES,6000,600
EL CAPULÍN,EL CAPULIN 2174,Álvaro Obregón,19.395614,-99.212233,1,PILARES,3000,300
EL MOLINO,CANANEA,Iztapalapa,19.29246,-99.061881,5,PILARES,15000,1500
EL MOLINO TEZONCO,JARDINES DE SAN LORENZO TEZONCO,Iztapalapa,19.294874,-99.0737936,4,PILARES,12000,1200
EL RELOJ,EL RELOJ,Coyoacán,19.317488,-99.141059,4,PILARES,12000,1200
EL VIVERO,ARBOLEDAS DE CUAUTEPEC 2085,Gustavo A. Madero,19.561881,-99.126161,6,PILARES,18000,1800
EMILIANO ZAPATA,EMILIANO ZAPATA,Coyoacán,19.326933,-99.138056,2,PILARES,6000,600
EMILIO ROSAS,UNIDAD VICENTE GUERRERO,Iztapalapa,19.352747,-99.056347,3,PILARES,9000,900
ERMITA (CASA DEL PUEBLO),ERMITA ZARAGOZA,Iztapalapa,19.364176,-99.002297,2,PILARES,6000,600
ESCUADRON 201,GRANJAS DE SAN ANTONIO,Iztapalapa,19.370111,-99.107905,2,PILARES,6000,600
ESCUELA PARA LA VIDA,LA ASUNCION,Tláhuac,19.244205,-98.994686,3,PILARES,9000,900
FACUNDO CABRAL,LOS REYES CULHUACAN 2313,Iztapalapa,19.34347,-99.102391,2,PILARES,6000,600
FARO AZCAPOTZALCO (EL ROSARIO),EL ROSARIO 2183,Azcapotzalco,19.508204,-99.19979,2,PILARES,6000,600
FARO MIACATLAN,SAN JERONIMO MIACATLAN,Milpa Alta,19.1931104,-99.0118669,2,PILARES,6000,600
FELIPE ANGELES,FELIPE ANGELES,Venustiano Carranza,19.4525204,-99.11354133,4,PILARES,12000,1200
"FISCALIA
(BOSQUES II SECCION)",JOSE MARIA PINO SUAREZ,Álvaro Obregón,19.39224814,-99.19914442,5,PILARES,15000,1500
FRAMBOYANES,POPULAR SANTA TERESA,Tlalpan,19.299143,-99.227425,2,PILARES,6000,600
FRANCISCO P. MIRANDA (PLATEROS I),LOMAS DE PLATEROS,Álvaro Obregón,19.36662327,-99.19609562,6,PILARES,18000,1800
FRAY SERVANDO,UNIDAD KENNEDY,Venustiano Carranza,19.419694,-99.111491,2,PILARES,6000,600
FRIDA KAHLO,DOCTORES,Cuauhtémoc,19.4106,-99.144,2,PILARES,6000,600
GABRIEL HERNANDEZ (TIXTLA),GABRIEL HERNANDEZ 2205,Gustavo A. Madero,19.50102629,-99.10033009,3,PILARES,9000,900
GABRIELA MISTRAL,LEYES DE REFORMA 1RA SECCION,Iztapalapa,19.35998,-99.068819,1,PILARES,3000,300
GARCÍA LORCA,ZAPOTITLA 2597,Tláhuac,19.31159,-99.036944,2,PILARES,6000,600
GOMEZ FARIAS,CARLOS ALBERTO MADRAZO,Álvaro Obregón,19.380283,-99.24959,1,PILARES,3000,300
GRAN CANAL DEL NORTE,SIMON BOLIVAR 2549,Venustiano Carranza,19.44769097,-99.10316427,3,PILARES,9000,900
GUADALUPE (PRIANI),LA GUADALUPE,La Magdalena Contreras,19.30644369,-99.2330223,4,PILARES,12000,1200
GUADALUPE VICTORIA (LA COMUNA),ZONA ESCOLAR ORIENTE,Gustavo A. Madero,19.5411517,-99.1422479,5,PILARES,15000,1500
HERRERIA (SANTA CRUZ),SANTA CRUZ,Milpa Alta,19.193473,-99.01894,4,PILARES,12000,1200
HIGUERA (SAN BERNABE OCOTEPEC),SAN BERNABE OCOTEPEC,La Magdalena Contreras,19.32086296,-99.25824963,3,PILARES,9000,900
HUAYAMILPAS,AJUSCO HUAYAMILPAS,Coyoacán,19.3242721,-99.15119319,3,PILARES,9000,900
HUAYATLA,PUEBLO NUEVO ALTO,La Magdalena Contreras,19.305281,-99.248611,3,PILARES,9000,900
